Question,Ideal Answer,Predicted Answers,Similarity Score,SAS Score,Context QA Eval
What are the documents required to apply for the new pan,"If you have Aadhaar card
No other document is required. You can get your pan card through your Aadhaar card in 10 minutes.

If you don’t have an Aadhaar card
- Passport(Any Country) / OCI Card
- Passport Size Photograph
- Overseas address proof with zip code (Supporting documents - Indian NRO/NRE Account statement or Overseas bank statement or Utility bill). If you have any further questions or need assistance with the application process, please feel free to contact SBNRI.","If you have an Aadhaar card, no other document is required. You can get your PAN card through your Aadhaar card in 10 minutes.

If you don't have an Aadhaar card, the documents required for a new PAN card are:
- Passport (Any Country) / OCI Card
- Passport Size Photograph
- Overseas address proof with zip code (Supporting documents - Indian NRO/NRE Account statement or Overseas bank statement or Utility bill)",0.520553768,0.5574773550033569,1
What is the cost/fees of a PAN card?,"The cost of applying for a new PAN card is Rs 2500 for E-PAN. If you want it to be couriered, it will cost Rs 1200 extra for physical delivery to your address. Kindly note that this cost is only for applying for a new PAN card and not for linking PAN with Aadhaar.","The cost/fees of a PAN card depends on whether you want an e-PAN or a physical PAN card. For an e-PAN, the cost is INR 2500. If you want a physical PAN card, the cost is INR 3700.",0.51727432,0.6385634541511536,1
Can I take the delivery of Pan card at Indian address,"Yes, you can take the delivery of your PAN card only at an Indian address mentioned in your Aadhaar card. While applying for a new PAN card or requesting corrections, you can provide your Indian address as the delivery address. Make sure to provide accurate and complete address details to ensure successful delivery.","Yes, you can take the delivery of the PAN card at an Indian address.",0.498345256,0.7318066358566284,1
How long does it usually take to receive the PAN card after applying?,"Once the payment is made, we will contact you and initiate the process. Pan card will be issued in 3 weeks after submitting the application. 

(You can get an e-Pan Card in under 10 minutes, if you have an Aadhaar card.)","If you have an Aadhaar card, you can get a PAN card instantly (in under 10 minutes) when you apply through ABC. However, if you don't have an Aadhaar card, the PAN card will be issued in 3 weeks after the payment is made to ABC.",0.5008955,0.8386015295982361,1
How to apply for PAN card,"Here are the steps for *PAN CARD* processing. 

- Visit SBNRI app
- Navigate to Services > NRI Pan Card > Apply New PAN
- Select the required form of PAN card and proceed with the payment
- Our team will get in touch with you to ask for the following documents:
    - Passport(Any Country) / OCI Card
    - Passport Size Photograph
    - Overseas address proof with zip code (Supporting documents - Indian NRO/NRE Account statement or Overseas bank statement or Utility bill)","To apply for a PAN card, you can follow these steps:

1. Visit the ABC app or website.
2. Navigate to Services > NRI Pan Card > Apply New PAN.
3. Select the required form of PAN card and proceed with the payment.
4. Our team will get in touch with you to ask for the following documents:
   - Passport (Any Country) / OCI Card.
   - Passport Size Photograph.
   - Overseas address proof with zip code (Supporting documents - Indian NRO/NRE Account statement or Overseas bank statement or Utility bill).

Please note that if you have an Aadhaar card, you can get a PAN card instantly in under 10 minutes. However, if you don't have an Aadhaar card, the PAN card will be issued in 3 weeks after the payment is made to ABC.",0.505719602,0.6385786533355713,1
What is the process to apply for PAN card,"Here are the steps for *PAN CARD* processing. 

- Visit SBNRI app
- Navigate to Services > NRI Pan Card > Apply New PAN
- Select the required form of PAN card and proceed with the payment
- Our team will get in touch with you to ask for the following documents:
    - Passport(Any Country) / OCI Card
    - Passport Size Photograph
    - Overseas address proof with zip code (Supporting documents - Indian NRO/NRE Account statement or Overseas bank statement or Utility bill)","The process to apply for a PAN card is as follows:
1. Visit the ABC app.
2. Navigate to Services > NRI Pan Card > Apply New PAN.
3. Select the required form of PAN card and proceed with the payment.
4. Our team will get in touch with you to ask for the following documents:
   - Passport (Any Country) / OCI Card.
   - Passport Size Photograph.
   - Overseas address proof with zip code (Supporting documents - Indian NRO/NRE Account statement or Overseas bank statement or Utility bill).",0.478717655,0.6706681847572327,1
Can I apply for a PAN card if I am a non-resident Indian (NRI)?,"Yes, as an NRI, you can apply for a PAN card. The process for applying for a PAN card is the same for both residents and NRIs. However, if you are an OCI holder or a person of Indian origin who holds foreign citizenship, you will need to fill Form 49AA to apply for a PAN card.","Yes, as an NRI, you can apply for a PAN card if you wish to carry out financial transactions in India, earn income in India and file income tax returns, or invest in mutual funds in India.",0.48961699,0.6059078574180603,1
Can I apply for pan card without Aadhaar?,"Yes, NRIs can apply for a PAN card without an Aadhaar Card? They can simply do so by filling out either of the forms – 49A (for citizens of India) or Form 49AA (for foreign citizens).","Yes, you can apply for a PAN card without Aadhaar. If you don't have an Aadhaar card, you will need to provide other documents such as a passport (any country) or OCI card, a passport size photograph, and overseas address proof with a zip code. The supporting documents for overseas address proof can be an Indian NRO/NRE account statement, overseas bank statement, or utility bill. Once the payment is made, the process will be initiated, and the PAN card will be issued in 3 weeks.",0.508557796,0.5828703045845032,1
What are the charges of linking Pan & Aadhaar,"The charges for linking Pan & Aadhaar is INR 2000/-, including the penalty charges to be paid for the delay in linking Pan & Aadhaar. It is important to link your PAN and Aadhaar cards to avoid any legal complications in India.","The charges for linking Pan & Aadhaar is INR 2000/-, including the penalty charges to be paid for the delay in linking Pan & Aadhaar.",0.48809424,0.7430294156074524,1
How long does Pan & Aadhaar linking take,It takes up to 6 to 7 days for PAN Aadhaar linking for NRIs.,It takes up to 6 to 7 days for PAN Aadhaar linking for NRIs.,0.492542982,0.9721884727478028,1
